pattern,degree,closeness,betweenness
类成员函数	 0.31 	 0.59 	 0.18
命名空间	 0.90 	 0.91 	 0.67
switch语句	 0.51 	 0.67 	 0.40
c++库函数scanf()	 0.35 	 0.61 	 0.22
for循环	 0.84 	 0.86 	 0.65
标准输出流cout	 0.89 	 0.90 	 0.66
指针	 0.60 	 0.71 	 0.47
对象	 0.55 	 0.69 	 0.40
算术运算符	 1.01 	 0.99 	 0.72
标准输入流cin	 0.90 	 0.91 	 0.67
字符型	 0.78 	 0.82 	 0.61
if语句	 0.86 	 0.88 	 0.66
退格键	 1.00 	 1.00 	 0.72
TRUE	 0.43 	 0.63 	 0.28
浮点常量-小数]"	 0.90 	 0.91 	 0.68
浮点型	 0.62 	 0.73 	 0.48
整数常量-十进制	 0.96 	 0.96 	 0.71
随机数函数	 0.20 	 0.56 	 0.09
if-else循环	 0.74 	 0.79 	 0.58
无类型	 0.73 	 0.78 	 0.56
const	 0.54 	 0.68 	 0.40
字符串	 0.60 	 0.71 	 0.47
内置函数	 0.34 	 0.60 	 0.21
实际参数	 0.95 	 0.95 	 0.70
fstream	 0.48 	 0.66 	 0.35
变量声明	 0.96 	 0.96 	 0.71
无符号型	 0.26 	 0.58 	 0.14
continue语句	 0.44 	 0.64 	 0.32
c++库函数printf()	 0.65 	 0.74 	 0.51
返回指针并指向s1中字符串s2第一次出现的位置函数	 0.39 	 0.62 	 0.25
指针运算	 0.51 	 0.67 	 0.39
位运算符	 1.01 	 0.99 	 0.72
预处理指令#include	 0.93 	 0.93 	 0.69
局部变量	 0.96 	 0.96 	 0.71
有符号型	 0.26 	 0.58 	 0.14
布尔型	 0.55 	 0.69 	 0.42
iostream	 0.90 	 0.91 	 0.67
while循环	 0.84 	 0.86 	 0.65
逻辑运算符	 0.85 	 0.85 	 0.65
水平制表符	 0.69 	 0.76 	 0.54
setprecision	 0.31 	 0.59 	 0.18
整型	 0.99 	 0.99 	 0.72
比较字符串s1与s2的长度并返回相应值的函数	 0.51 	 0.67 	 0.39
数组作为参数	 0.61 	 0.71 	 0.48
引用调用	 0.28 	 0.58 	 0.15
双浮点型	 0.64 	 0.73 	 0.48
返回类型	 0.50 	 0.66 	 0.36
内存地址	 0.59 	 0.71 	 0.45
赋值运算符	 0.94 	 0.92 	 0.69
传值调用	 0.95 	 0.95 	 0.70
using指令	 0.90 	 0.91 	 0.67
长型	 0.31 	 0.59 	 0.20
数组声明	 0.58 	 0.70 	 0.46
iomanip	 0.31 	 0.59 	 0.18
杂项运算符-强制转换数据类型	 0.58 	 0.70 	 0.44
函数声明	 0.71 	 0.78 	 0.56
FALSE	 0.43 	 0.63 	 0.28
String串	 0.51 	 0.67 	 0.39
变量定义	 1.00 	 1.00 	 0.72
关系运算符	 1.01 	 0.99 	 0.72
指数函数	 0.18 	 0.55 	 0.07
函数定义	 0.48 	 0.66 	 0.36
形式参数	 0.61 	 0.72 	 0.47
整数常量-八进制	 0.95 	 0.95 	 0.70
指针变量的声明	 0.60 	 0.71 	 0.47
多维数组	 0.65 	 0.74 	 0.52
#define	 0.49 	 0.66 	 0.35
数据成员	 0.96 	 0.96 	 0.70
注释	 0.80 	 0.83 	 0.63
静态成员函数	 0.71 	 0.78 	 0.56
全局变量	 0.46 	 0.65 	 0.34
构造器	 0.15 	 0.54 	 0.04
访问数组元素	 0.65 	 0.74 	 0.52
结构	 0.53 	 0.68 	 0.40
平方根函数	 0.33 	 0.60 	 0.20
返回字符串s1的长度函数	 0.39 	 0.62 	 0.25
杂项运算符	 0.54 	 0.68 	 0.38
空指针	 0.28 	 0.58 	 0.15
整数常量-十六进制	 0.25 	 0.57 	 0.12
主函数main()	 0.93 	 0.93 	 0.69
break语句	 0.54 	 0.68 	 0.41
