contents,key_words
"本关任务对应参考代码实现如下：
// 求两数和的带值函数
double TwoNumberAdd(float a, float b)
{
    // 请在此添加代码，补全函数TwoNumberAdd
    
    return a+b;
    deconstruct ~Add();
    
}

","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"本关任务对应参考代码实现如下：

#include <math.h>

// 求n的算术平方根
double SquareRoot(float n)
{
    // 请在此添加代码，补全函数SquareRoot
    
    return n > 0 ? sqrt(n) : -1;

    
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'float', 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'do', 0, 0, 0, 'double', 0, 0, 0, 0, 0, 0]"
"本关任务对应参考代码实现如下：

#include <iostream>
#include <math.h>
using namespace std;

int main()
{
    float a, b, c;

    // 从命令行读入三个float型数值
    // 这三个数取自测试集的输入
    cin >> a >> b >> c;

    // 请在下面添加实现代码
    
    float det = b * b - 4 * a * c;
    double x1 = (-b + sqrt(det)) / (2 * a);
    double x2 = (-b - sqrt(det)) / (2 * a);

    det > 0 ? ( cout << x1 << "" "" << x2 << endl) : (det == 0 ? (cout << x1 << endl) : (cout << ""方程无实数根"" << endl));
    
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'float', 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'do', 0, 0, 0, 'double', 0, 0, 0, 0, 0, 0]"
"请将以下代码直接拷贝到右侧相应位置：

// 判断整数的奇偶性
int OddOrEven(int n)
{
    int flag;
    flag = n % 2 == 0 ? 1 : 0;
    return flag;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'float', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'using', 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 'do', 0, 0, 0, 'double', 0, 0, 0, 0, 'namespace', 0]"
"请将以下代码直接拷贝到右侧相应位置：

// 判断一个年份是否为闰年
int IsLeapYear(int year)
{
    int flag;
    flag = (((year % 4 == 0 && year % 100 != 0) || (year % 400 == 0))) == true ? 1 : 0;
    return flag;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"请将以下代码直接拷贝到右侧相应位置：

// 判断一个整数是否是2的幂
bool IsPowerOfTwo(int n)
{
    bool flag;
    flag = (n > 0 && ((n & (n - 1)) == 0 )) ?  true : false;
    return flag;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'true', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"请将以下代码直接拷贝到右侧相应位置：

//判断一个三位数是否是水仙花数
bool NarcissisticNumber(int n)
{
    int a, b, c;
    a = n / 100;
    b = n / 10 % 10;
    c = n % 10;
    return n == (a * a * a + b * b * b + c * c * c) ? true : false;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 'bool', 0, 0, 'true', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'false', 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"请将以下代码直接拷贝到右侧相应位置：

// 判断三条边能否构成一个三角形
bool TriangleJudge(float a, float b, float c)
{
    return (a + b > c && a + c > b && b + c > a) ? true : false;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 'bool', 0, 0, 'true', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'false', 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"请将以下代码直接拷贝到右侧相应位置：

#include <math.h>

// 计算直角三角形的斜边长度
double TriangularHypot(float a, float b)
{
    return sqrt(a * a + b * b);
}
","[0, 0, 0, 0, 0, 0, 0, 0, 'bool', 0, 0, 'true', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'false', 0, 0, 0, 'float', 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"请将以下代码直接拷贝到右侧相应位置：

//求长方形的周长
int RectanglePerimeter(int a, int b)
{
    return 2 * (a + b);
}

//求长方形的面积
int RectangleArea(int a, int b)
{
    return a * b;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'float', 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'do', 0, 0, 0, 'double', 0, 0, 0, 0, 0, 0]"
