concat("https://git.educoder.net/", m.repo_name, ".git")	shixun_id	name
https://git.educoder.net/zenglingbin12/qmeb65oa.git	51	C++之整数性质判断
https://git.educoder.net/m91650748/748fkcya.git	53	C++之整数基本应用（I）
https://git.educoder.net/jackstudent/748fkcya.git	53	C++之整数基本应用（I）
https://git.educoder.net/Hjqreturn/748fkcya.git	53	C++之整数基本应用（I）
https://git.educoder.net/wangtao/qmeb65oa.git	51	C++之整数性质判断
https://git.educoder.net/hushasha/748fkcya.git	53	C++之整数基本应用（I）
https://git.educoder.net/kosasa/o7pr4f6v.git	54	C++之整数基本应用（II）
https://git.educoder.net/kosasa/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/m91650748/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/ladventure/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/b411763600/qmeb65oa.git	51	C++之整数性质判断
https://git.educoder.net/b411763600/748fkcya.git	53	C++之整数基本应用（I）
https://git.educoder.net/b411763600/o7pr4f6v.git	54	C++之整数基本应用（II）
https://git.educoder.net/a411763600/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/kosasa/tjxnyuv6.git	56	C++之if-else基本性质
https://git.educoder.net/kosasa/748fkcya.git	53	C++之整数基本应用（I）
https://git.educoder.net/a411763600/o7pr4f6v.git	54	C++之整数基本应用（II）
https://git.educoder.net/jacknudt/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/a411763600/tjxnyuv6.git	56	C++之if-else基本性质
https://git.educoder.net/linchun/o7pr4f6v.git	54	C++之整数基本应用（II）
https://git.educoder.net/linchun/tjxnyuv6.git	56	C++之if-else基本性质
https://git.educoder.net/linchun/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/jacknudt/748fkcya.git	53	C++之整数基本应用（I）
https://git.educoder.net/hushasha/o7pr4f6v.git	54	C++之整数基本应用（II）
https://git.educoder.net/wangtao/748fkcya.git	53	C++之整数基本应用（I）
https://git.educoder.net/linchun/qmeb65oa.git	51	C++之整数性质判断
https://git.educoder.net/linchun/opv8xkjw.git	95	C++之跳转语句性质
https://git.educoder.net/linchun/v3bksozu.git	90	C++之for循环应用（II）
