from_id,name1,property,to_id,name2
1,标识符,前驱,2,c++关键字
3,数据类型,前驱,4,修饰符类型
3,数据类型,前驱,5,变量类型
3,数据类型,前驱,6,数组
7,变量,前驱,5,变量类型
5,变量类型,前驱,8,变量声明
5,变量类型,前驱,9,变量定义
8,变量声明,前驱,10,变量作用域
1,标识符,前驱,8,变量声明
11,函数,前驱,12,局部变量
11,函数,前驱,13,全局变量
5,变量类型,前驱,14,转义序列
3,数据类型,前驱,4,修饰符类型
5,变量类型,前驱,15,运算符
3,数据类型,前驱,16,常量
8,变量声明,前驱,17,c++存储类
15,运算符,前驱,18,表达式
5,变量类型,前驱,18,表达式
18,表达式,前驱,19,c++顺序语句
19,c++顺序语句,前驱,20,c++循环语句
20,c++循环语句,前驱,21,循环控制语句
18,表达式,前驱,22,c++判断语句
11,函数,前驱,10,变量作用域
11,函数,前驱,23,函数声明
11,函数,前驱,24,函数定义
3,数据类型,前驱,25,函数参数
6,数组,前驱,25,函数参数
6,数组,前驱,26,字符串
27,字符型,前驱,28,C-串
3,数据类型,前驱,29,返回类型
11,函数,前驱,30,函数调用
30,函数调用,前驱,31,传值调用
31,传值调用,前驱,32,传参方式
25,函数参数,前驱,33,多维数组
25,函数参数,前驱,36,数组作为参数
6,数组,前驱,36,数组作为参数
7,变量,前驱,34,指针
5,变量类型,前驱,38,指针变量的声明
6,数组,前驱,39,指针数组
34,指针,前驱,25,函数参数
5,变量类型,前驱,40,引用声明
3,数据类型,前驱,41,结构
41,结构,前驱,25,函数参数
3,数据类型,前驱,43,对象
11,函数,前驱,43,对象
44,类,前驱,47,标准输入输出流
11,函数,前驱,48,类成员函数
4,修饰符类型,前驱,49,类访问修饰符
48,类成员函数,前驱,50,类构造函数
11,函数,前驱,51,友元函数
30,函数调用,前驱,52,内联函数
55,继承,前驱,58,继承类型
25,函数参数,前驱,59,函数重载
60,作用域,前驱,59,函数重载
55,继承,前驱,62,多态
65,预处理指令#include,前驱,66,#include<>
65,预处理指令#include,前驱,67,#include\\
3,数据类型,前驱,68,布尔型
3,数据类型,前驱,27,字符型
3,数据类型,前驱,69,整型
3,数据类型,前驱,70,浮点型
3,数据类型,前驱,71,双浮点型
3,数据类型,前驱,72,无类型
3,数据类型,前驱,73,宽字符型
5,变量类型,前驱,68,布尔型
5,变量类型,前驱,27,字符型
5,变量类型,前驱,69,整型
5,变量类型,前驱,70,浮点型
5,变量类型,前驱,71,双浮点型
5,变量类型,前驱,72,无类型
5,变量类型,前驱,73,宽字符型
10,变量作用域,前驱,13,全局变量
10,变量作用域,前驱,12,局部变量
16,常量,前驱,74,整数常量
16,常量,前驱,75,浮点常量
16,常量,前驱,76,布尔常量
16,常量,前驱,77,字符常量
16,常量,前驱,78,字符串常量
76,布尔常量,前驱,79,TRUE
76,布尔常量,前驱,80,FALSE
77,字符常量,前驱,81,普通字符
77,字符常量,前驱,14,转义序列
77,字符常量,前驱,82,通用字符
14,转义序列,前驱,83,警报铃声
14,转义序列,前驱,84,退格键
14,转义序列,前驱,85,换页符
14,转义序列,前驱,86,换行符
14,转义序列,前驱,87,回车
14,转义序列,前驱,88,水平制表符
14,转义序列,前驱,89,垂直制表符
14,转义序列,前驱,90,一到三位的八进制数
91,常量定义,前驱,92,const
91,常量定义,前驱,93,#define
4,修饰符类型,前驱,94,有符号型
4,修饰符类型,前驱,95,无符号型
4,修饰符类型,前驱,96,长型
