,shixun_id,shixun_name,challenge_id,challenge_name,answer_id,answer_contents
0,6934,软件工程之单元测试,3imyf4av9whg,计算两个数组的并集,20855,"```C
#include <string.h>
#include <stdlib.h>
#include ""student.h""

void intersection(int* A, int* B, int lenA, int lenB, int** C, int* lenC)
{
	/*
	
A表示数组A，B表示数组B，lenA表示数组A的长度，lenB表示数组
	B的长度，C表示结果，lenC表示结果的长度
	需要将交集存放在数组C中。
	*/

	/*********Begin********/

	int* hash_A = (int*)malloc(100*sizeof(int));
	int* hash_B = (int*)malloc(100*sizeof(int));
	memset(hash_A, 0, 100);
	memset(hash_B, 0, 100);

	for(int i = 0; i < lenA; ++i)
	{
		hash_A[A[i]]++;
	}
	for(int i = 0; i < lenB; ++i)
	{
		hash_B[B[i]]++;
	}
	int total = 0;
	for(int i = 0; i < 100; ++i)
	{
		if(hash_A[i]>0 && hash_B[i]>0)
			total++;
	}
	int* result = (int*)malloc(total*sizeof(int));
	int cur_index = 0;
	for(int i = 0; i < 100; ++i)
	{
		if(hash_A[i]>0 && hash_B[i]>0)
			result[cur_index++] = i;
	}
	*C = result;
	*lenC = total;
	/*********End*********/
}
```"
1,6934,软件工程之单元测试,9uctfyoz3a8x,自己动手实现单元测试,20857,"```C
#include""func.h""
#include<stdio.h>

void intersection(int* A, int* B, int lenA, int lenB, int** C, int* lenC);

void UnitTest()
{
	/*请按照测试用例来测试交集功能*/
	int pass_count = 0;
	int err_count = 0;
	int total_count = 4;
	/*********Begin*********/
	int A[] = {0, 99, 1, 5, 4, 8, 1, 4};
	int B[] = {12, 44, 4, 8, 0, 99, 1};
	int *C = NULL;
	int lenC = 0;
	intersection(A, B, 8, 7, &C, &lenC);
	int result[] = {99, 8, 4, 1, 0};
	if(lenC == 5)
	{
		int pass = 1;
		for(int i = 0; i < lenC; ++i)
		{
			if(C[i] != result[i])
			{
				pass =0;
				break;
			}
		}
		if(pass)
			pass_count++;
		else
			err_count++;
	}
	else
		err_count++;

	int A1[] = {0};
	int B1[] = {0};
	C = NULL;
	lenC = 0;
	intersection(A1, B1, 1, 1, &C, &lenC);
	int result1[] = {0};
	if(lenC == 1)
	{
		int pass = 1;
		for(int i = 0; i < lenC; ++i)
		{
			if(C[i] != result1[i])
			{
				pass =0;
				break;
			}
		}
		if(pass)
			pass_count++;
		else
			err_count++;
	}
	else
		err_count++;

	int A2[] = {1, 2, 3, 4, 5};
	int B2[] = {5, 3, 2, 1, 4};
	C = NULL;
	lenC = 0;
	intersection(A2, B2, 5, 5, &C, &lenC);
	int result2[] = {5, 4, 3, 2, 1};
	if(lenC == 5)
	{
		int pass = 1;
		for(int i = 0; i < lenC; ++i)
		{
			if(C[i] != result2[i])
			{
				pass =0;
				break;
			}
		}
		if(pass)
			pass_count++;
		else
			err_count++;
	}
	else
		err_count++;

	int A3[] = {6, 6, 6, 6, 6, 6, 6};
	int B3[] = {6};
	C = NULL;
	lenC = 0;
	intersection(A3, B3, 7, 1, &C, &lenC);
	int result3[] = {6};
	if(lenC == 1)
	{
		int pass = 1;
		for(int i = 0; i < lenC; ++i)
		{
			if(C[i] != result3[i])
			{
				pass =0;
				break;
			}
		}
		if(pass)
			pass_count++;
		else
			err_count++;
	}
	else
		err_count++;
	/*********End*********/
	printf(""pass_count=%d, err_count=%d, total_count=%d\n"", pass_count, err_count, total_count);
}
```"
2,6934,软件工程之单元测试,a6rlgt89ouch,CuTest实现单元测试,20860,"```C
#include ""CuTest.h""
#include""func.h""
#include<stdio.h>

//计算两个数组的交集，并将结果转换成字符串返回
char* intersection(int* A, int* B, int lenA, int lenB);


void TestCase1(CuTest *tc) 
{
	//测试用例1
	/*********Begin*********/
	int A[] = {0, 99, 1, 5, 4, 8, 1, 4};
	int B[] = {12, 44, 4, 8, 0, 99, 1};
	char* actual = intersection(A, B, 8, 7);
	char* expected = ""99, 8, 4, 1, 0"";
    CuAssertStrEquals(tc, expected, actual);
	/*********End*********/
}

void TestCase2(CuTest *tc) 
{
	//测试用例2
	/*********Begin*********/
	int A[] = {0};
	int B[] = {0};
	char* actual = intersection(A, B, 1, 1);
	char* expected = ""0"";
    CuAssertStrEquals(tc, expected, actual);
	/*********End*********/
}

void TestCase3(CuTest *tc) 
{
	//测试用例3
	/*********Begin*********/
	int A[] = {1, 2, 3, 4, 5};
	int B[] = {5, 3, 2, 1, 4};
	char* actual = intersection(A, B, 5, 5);
	char* expected = ""5, 4, 3, 2, 1"";
    CuAssertStrEquals(tc, expected, actual);
	/*********End*********/
}

void TestCase4(CuTest *tc) 
{
	//测试用例4
	/*********Begin*********/
	int A[] = {6, 6, 6, 6, 6, 6, 6};
	int B[] = {6};
	char* actual = intersection(A, B, 7, 1);
	char* expected = ""6"";
    CuAssertStrEquals(tc, expected, actual);
	/*********End*********/
}

CuSuite* GetSuite() {
    CuSuite* suite = CuSuiteNew();
    SUITE_ADD_TEST(suite, TestCase1);
    SUITE_ADD_TEST(suite, TestCase2);
    SUITE_ADD_TEST(suite, TestCase3);
	SUITE_ADD_TEST(suite, TestCase4);
    return suite;
}


void RunAllTests() 
{
	/*
	运行所有的测试用例
	*/
    CuString *output = CuStringNew();
    CuSuite* suite = CuSuiteNew();

	/*********Begin*********/

    CuSuiteAddSuite(suite, GetSuite());

	/*********End*********/
	CuSuiteRun(suite);
    CuSuiteSummary(suite, output);
    CuSuiteDetails(suite, output);
    printf(""%s\n"", output->buffer);
}
```"
3,7003,航母拦阻索“拉钩”次数统计,qatk8ye2fjhl,航母拦阻索的“拉钩”次数统计,21976,"#include <stdio.h>
// 定义main函数
int main()
{
    // 请在此添加代码
    /********** Begin *********/
	int m,n,i=1,count,sum=0,left;
	scanf(""%d%d"",&n,&m);
	
	while(i<=n)
	{
		scanf(""%d"",&count);
		sum=sum+count;
		i=i+1;
	}
	left=m-sum;
	printf(""航母阻拦索的拉钩总次数：%d\n阻拦索剩余使用次数：%d\n"",sum,left);

    /********** End **********/
    return 0;
}"
4,6853,Paxos算法,p5m4fef9atgl,使用Paxos算法完成程序设计,20911,"`Acceptor.cpp`
```cpp
#include ""Acceptor.h""


namespace paxos
{


Acceptor::Acceptor(void)
{
	m_maxSerialNum = 0;
	m_lastAcceptValue.serialNum = 0;
	m_lastAcceptValue.value = 0;
}

Acceptor::~Acceptor(void)
{
}

bool Acceptor::Propose(unsigned int serialNum, PROPOSAL &lastAcceptValue)
{
	if ( 0 == serialNum ) return false;
	//提议不通过
	if ( m_maxSerialNum > serialNum ) return false;
	//接受提议
    //请完善下面逻辑

	/**********Begin**********/
    m_maxSerialNum = serialNum;
    lastAcceptValue = m_lastAcceptValue;
	/**********End**********/

	return true;
}

bool Acceptor::Accept(PROPOSAL &value)
{
	if ( 0 == value.serialNum ) return false;
	//Acceptor又重新答应了其他提议
   //请完善下面逻辑
	/**********Begin**********/
    if ( m_maxSerialNum > value.serialNum ) return false;

	/**********End**********/

    
	//批准提议通过
    //请完善下面逻辑
    /**********Begin**********/
    m_lastAcceptValue = value;

	/**********End**********/

	return true;
}

}

```


`Proposer.cpp`
```cpp
#include ""Proposer.h""

namespace paxos
{

Proposer::Proposer()
{
	SetPlayerCount(0, 0);
}

Proposer::Proposer(short proposerCount, short acceptorCount)
{
	SetPlayerCount(proposerCount, acceptorCount);
}

Proposer::~Proposer()
{
}

void Proposer::SetPlayerCount(short proposerCount, short acceptorCount)
{
	m_proposerCount = proposerCount;
	m_acceptorCount = acceptorCount;

	return;
}

void Proposer::StartPropose(PROPOSAL &value)
{
	m_value = value;
	m_proposeFinished = false;
	m_isAgree = false;
	m_maxAcceptedSerialNum = 0;
	m_okCount = 0;
	m_refuseCount = 0;
	m_start = time(NULL);

	return;
}

PROPOSAL& Proposer::GetProposal()
{
	return m_value;
}

bool Proposer::Proposed(bool ok, PROPOSAL &lastAcceptValue)
{
	if ( m_proposeFinished ) return true;//可能是一阶段迟到的回应，直接忽略消息

	if ( !ok ) 
	{
		m_refuseCount++;
		//已有半数拒绝，不需要等待其它acceptor投票了，重新开始Propose阶段
		//使用StartPropose(m_value)重置状态
	
        //请完善下面逻辑
 		/**********Begin**********/
    if ( m_refuseCount > m_acceptorCount / 2 ) 
        {
            m_value.serialNum += m_proposerCount;
            StartPropose(m_value);
            return false;
        }
	    /**********End**********/

		//拒绝数不到一半
		return true;
	}

	m_okCount++;
	/*
		没有必要检查分支：serialNum为null
		因为serialNum>m_maxAcceptedSerialNum，与serialNum非0互为必要条件
	*/
	//如果已经有提议被接受，修改成已被接受的提议
	//请完善下面逻辑
 	/**********Begin**********/
if ( lastAcceptValue.serialNum > m_maxAcceptedSerialNum ) 
    {
        m_maxAcceptedSerialNum = lastAcceptValue.serialNum;
        m_value.value = lastAcceptValue.value;
    }
	/**********End**********/	

	//如果自己的提议被接受
	if ( m_okCount > m_acceptorCount / 2 ) 
	{
		m_okCount = 0;
		m_proposeFinished = true;
	}
	return true;
}

bool Proposer::StartAccept()
{
	return m_proposeFinished;
}

bool Proposer::Accepted(bool ok)
{
	if ( !m_proposeFinished ) return true;//可能是上次第二阶段迟到的回应，直接忽略消息

	if ( !ok ) 
	{
		m_refuseCount++;
		//已有半数拒绝，不需要等待其它acceptor投票了，重新开始Propose阶段
		//使用StartPropose(m_value)重置状态
	    //请完善下面逻辑
        /**********Begin**********/
    if ( m_refuseCount > m_acceptorCount / 2 ) 
        {
            m_value.serialNum += m_proposerCount;
            StartPropose(m_value);
            return false;
        }
	    
        
        /**********End**********/
 		
		return true;
	}

	m_okCount++;
	if ( m_okCount > m_acceptorCount / 2 ) m_isAgree = true;

	return true;
}

bool Proposer::IsAgree()
{
	return m_isAgree;
}

}


```"
5,6976,计算机算法设计与分析：线性规划问题和单纯形算法,ch5nzlyik4ag,单纯性算法解一般线性方程组,20960,"```
#pragma once

#include <cmath>
#include <iostream>
#include<fstream>
#include <string>
#include <iomanip>
#include <cfloat>

using namespace std;

class LinearProgram
{
public:
		LinearProgram();
		~LinearProgram();
		void solve();
	private:
		int enter(int objrow);
		int leave(int col);
		int simplex(int objrow);
		int phase1();
		int phase2();
		int compute();
		void swapbasic(int row,int col);
		void pivot(int row,int col);
	//	void stats();//这个方法是干什么的？
		void setbasic(int * basicp);
		void output();
		void Make2DArray(double ** & a, int m,int n);
		void Delet2DArray(double ** & a, int m,int n);
		int m,				//约束总数
			n,				//变量数
			m1,				//不等式约束数<=
			m2,				//等式约束
			m3,				//不等式约束数>=
			n1,n2,			//n1 = n + m3,n2 = n1 + m1
			error,			//记录错误类型
			*basic,			//基本变量下标
			*nonbasic;		//非基本变量下标
		double **a,minmax;
};


LinearProgram::LinearProgram()
{
	
	double value;
	cout<<""Enter data in the following format:""<<endl;
	cout<<""1:+1(max)or-1(min);m;n""<<endl;
	cout<<""2:m1;m2;m3""<<endl;
	cout<<""The constraint coefficient and the right term""<<endl;
	cout<<""Objective function coefficient""<<endl;
	error = 0;
 
	cin>>minmax;
	cin>>m;
	cin>>n;
 
	//输入各类约束数
	cin>>m1;
	cin>>m2;
	cin>>m3;
 
	if(m!=m1+m2+m3)
	{
		error = 1;
	}
 
	n1 = n + m3;
	n2 = n + m1 + m3;
	Make2DArray(a,m+2,n1+1);//构造二维数组
	basic = new int[m+2];
	nonbasic = new int[n1+1];
	
	//初始化基本变量和非基本变量
	/*********begin*************/
	    for(int i=0; i<=m+1; i++)
    {
        for(int j=0; j<=n1; j++)
        {
            a[i][j] = 0.0;
        }
    }
    for(int j=0; j<=n1; j++)
    {
        nonbasic[j] = j;
    }
	/*********end***************/
 
	//引入松弛变量和人工变量
	/*********begin*************/
	    for(int i=1,j=n1+1; i<=m; i++,j++)
    {
        basic[i] = j;
    }
    for(int i=m-m3+1,j=n+1; i<=m; i++,j++)
    {
        a[i][j] = -1.0;
        a[m+1][j] = -1.0;
    }
	/*********end***************/
	//输入约束系数和右端项
	for(int i=1; i<=m; i++)
	{
		for(int j=1; j<=n; j++)
		{
			cin>>value;
			a[i][j] = value;
		}
		cin>>value;
		if(value<0) 
		{
			error = 1;
		}
		a[i][0] = value;
	}
 
	//输入目标函数系数
	for(int j=1; j<=n; j++)
	{
		cin>>value;
		a[0][j] =  value * minmax;
	}
 
	//引入人工变量，构造第1阶段的辅助目标函数
	/*********begin*************/
	    for(int j=1; j<=n;  j++)
    {
        value=0.0;
        for(int i=m1+1; i<=m; i++)
        {
            value += a[i][j];
        }
        a[m+1][j] = value;
    } 
	/*********end***************/

}


LinearProgram::~LinearProgram()
{
	delete basic;
	delete nonbasic;
	Delet2DArray(a,m+2,n1+1);

}

void LinearProgram::Make2DArray(double ** & a, int m,int n)
{
	a = new double*[m];
	for (int i=0; i<m; i++)
	{
		a[i] = new double[n];
	}
}

void LinearProgram::Delet2DArray(double ** & a, int m,int n)
{
	for (int i = 0; i <= m;i++)
	{
		delete[]a[i];
		
	}
	delete[]a;
}


//根据目标函数系数所在的行objrow，执行约束标准型线性规划问题的单纯形算法
int LinearProgram::simplex(int objrow)
{
	/*********begin*************/
	    for(int row = 0;;)
    {
        int col = enter(objrow);
        if(col>0)
        {
            row = leave(col);
        }
        else
        {
            return 0;
        }
        if(row>0)
        {
            pivot(row,col);
        }
        else
        {
            return 2;
        }
    }
	/*********end***************/
}
 
//根据目标函数系数所在行objrow，选取入基变量
int LinearProgram::enter(int objrow)
{
	double temp = DBL_EPSILON;	
	int j,col;
	/*********begin*************/
    for(j=1,col=0; j<=n1; j++)
    {
        if(nonbasic[j]<=n2 && a[objrow][j]>temp)
        {
            col = j;
            temp = a[objrow][j];
            break;            //Bland避免循环法则
        }
    }
	/*********end***************/
	return col;
}
 
//根据入基变量所在列col,选取离基变量
int LinearProgram::leave(int col)
{
	double temp = DBL_MAX;
	int row, i;
	/*********begin*************/
	    for(i=1,row=0; i<=m; i++)
    {
        double val = a[i][col];
        if(val>DBL_EPSILON)
        {
            val = a[i][0]/val;
            if(val<temp)
            {
                row = i;
                temp = val;
            }
        }
    }
	/*********end***************/
	return row;
}
 
//以入基变量所在列col和离基变量所在行row交叉处元素a[row][col]为轴心，做转轴变换
void LinearProgram::pivot(int row,int col)
{
	/*********begin*************/
	for(int j=0; j<=n1; j++)
    {
        if(j!=col)
        {
            a[row][j] = a[row][j]/a[row][col];
        }
    }
    a[row][col] = 1.0/a[row][col];
    for(int i=0; i<=m+1; i++)
    {
        if(i!=row)
        {
            for(int j=0; j<=n1; j++)
            {
                if(j!=col)
                {
                    a[i][j] = a[i][j] - a[i][col]*a[row][j];
                    if(fabs(a[i][j])<DBL_EPSILON)
                    {
                        a[i][j] = 0.0;
                    }
                }
            }
            a[i][col] = - a[i][col]*a[row][col];
        }
    }
	/*********end***************/
	swapbasic(row,col);
	
}
 
//交换基本变量row和非基本变量col的位置
void LinearProgram::swapbasic(int row,int col)
{
	int temp = basic[row];
	basic[row] = nonbasic[col];
	nonbasic[col] = temp;
}
 
//对一般的线性规划问题执行两阶段单纯形算法
int LinearProgram::compute()
{
	if(error>0)
	{
		return error;
	}
	if(m!=m1)
	{
		error = phase1();
		if(error>0)
		{
			return error;
		}
		
	}

	return phase2();
}
 
//构造初始基本可行解的第一阶段单纯形算法由phase1()实现
//辅助目标函数存储在数组a的第trows行
int LinearProgram::phase1()
{

	error = simplex(m+1);

	if(error>0)
	{
		return error;
	}
	for(int i=1; i<=m; i++)
	{
		if(basic[i]>n2)
		{
			if(a[i][0]>DBL_EPSILON)
			{
				return 3;
			}
			for(int j=1; j<=n1; j++)
			{
				if(fabs(double(a[i][j]))>=DBL_EPSILON)
				{
					pivot(i,j);
					break;
				}	
			}
		}
	}
	
	return 0;
}
 
//第二阶段根据第一阶段找到的基本可行解，对原来的目标函数用单纯形算法求解
//原目标函数存储在数组a的第0行
int LinearProgram::phase2()
{
	return simplex(0);
}
 
//执行两阶段单纯形算法
void LinearProgram::solve()
{
	cout<<endl<<""* * * 线性规划---单纯形算法 * * *""<<endl<<endl;
	error = compute();
	switch(error)
	{
		case 0:output();break;
		case 1:cout<<""输入数据错误--""<<endl;break;
		case 2:cout<<""无界解--""<<endl;break;
		case 3:cout<<""无可行解--""<<endl;
	}
	cout<<""计算结束""<<endl;
}
 
//输出结果
void LinearProgram::output()
{
	int width = 8,*basicp;
	double zero = 0.0;
	basicp = new int[n+m+1];
	setbasic(basicp);

	cout.setf(ios::fixed|ios::showpoint|ios::right);
	cout.precision(4);

	cout<<endl<<""最优值：""<<-minmax*a[0][0]<<endl<<endl;
	cout<<""最优解：""<<endl<<endl;
	for(int j=1; j<=n; j++)
	{
		cout<<""x""<<j<<"" ="";
		if(basicp[j]!=0)
		{
			cout<<setw(width)<<a[basicp[j]][0];
		}
		else
		{
			cout<<setw(width)<<zero;
		}
		cout<<endl;
	}
	cout<<endl;
	delete []basicp;
} 

void LinearProgram::setbasic(int * basicp)
{
	for(int i=0;i<=n+m;i++)
	{
		basicp[i] = 0;
	}
	for(int i=1;i<=m;i++)
	{
		basicp[basic[i]]=i;
	}
}

```"
6,6701,计算机算法设计与分析：随机化算法,3ewhtbksqp76,硬币实验,20582,"```cpp
#include ""RandomNumber.h""
#include <iostream>
using namespace std;
 
int TossCoins(int numberCoins);
 
int main()
{
	//模拟随机抛硬币事件
	int NCOINS;
	long NTOSSES;
	cin >>NCOINS;
	cin >>NTOSSES;
	
	//heads[i]是得到i次正面的次数
	long i,heads[NCOINS+1];
 
	int j,position;
 
	//初始化数组heads
	for(int j=0; j<NCOINS+1;j++)
	{
		heads[j] = 0;
	}
 
	//重复50,000次模拟事件
	for(int i=0; i<NTOSSES; i++)
	{
		heads[TossCoins(NCOINS)]++;
	}
 
	//输出频率图
	for(int i=0; i<=NCOINS; i++)
	{
		position = int(float(heads[i])/NTOSSES*72);
		cout<<i<<"" "";
		for(int j=0; j<position-1; j++)
		{
			cout<<"" "";
		}
		cout<<""*""<<endl;
	}
 
	return 0;
}
 
int TossCoins(int numberCoins)
{
	//随机抛硬币
	static RandomNumber coinToss(1);
	int i,tosses = 0;
	for(int i=0; i<numberCoins; i++)
	{
		//Random(2) = 1表示正面
		tosses += coinToss.Random(2);
	}
	return tosses;
}
```"
7,6701,计算机算法设计与分析：随机化算法,juv4fwp75tqk,用随机投点法求圆周率,20600,"```cpp
//随机化算法 用随机投点法计算π值
#include ""RandomNumber.h""
#include <iostream>
using namespace std;
 
double Darts(int n);
 
int main()
{
	int n1;
	cin>> n1;
	cout<<""n1=""<<n1<<""\npi=""<<Darts(n1)<<endl;
	return 0;
}
 
//用随机投点法计算π值
double Darts(int n)
{
	static RandomNumber dart(1);
	int k = 0;
 
	for(int i=1; i<=n; i++)
	{
		double x = dart.fRandom();
		double y = dart.fRandom();
		if((x*x + y*y)<=1)
		{
			k++;
		}
	}
 
	return 4*k/double(n);
}
```"
8,6701,计算机算法设计与分析：随机化算法,3jxgzyckoqst,解非线性方程组,20598,"```cpp
//随机化算法 解线性方程组
#include ""RandomNumber.h""
#include <iostream>
using namespace std;
 
bool NonLinear(double *x0,double *dx0,double *x,double *fx,double a0,
					double epsilon,double k,int n,int Steps,int M);
double f(double *x,double *fx);
 
int main()
{
	double  *x0,				//根初值
			*x,					//根
			*dx0,			//增量初值
			*fx,  // 函数值
			a0 = 0.0001,			//步长
			epsilon = 0.01,		//精度
			k = 1.1;			//步长变参
	int n = 2,					//方程个数
		Steps = 10000,			//执行次数
		M = 1000;				//失败次数
 
	x0 = new double[n+1];
	dx0 = new double[n+1];
	x = new double[n+1];
	fx = new double[n+1];
	
	cin >> fx[1];
	cin >> fx[2];
	
	//根初值
	x0[1] = 0.0;
	x0[2] = 0.0;
 
	//增量初值
	dx0[1] = 0.01;
	dx0[2] = 0.01;
 
	cout<<""The original equations are:""<<endl;
	cout<<""x1-x2=""<<fx[1]<<endl;
	cout<<""x1+x2=""<<fx[2]<<endl;
 
	cout<<""The roots are:""<<endl;
 
	bool flag = NonLinear(x0,dx0,x,fx,a0,epsilon,k,n,Steps,M);
	while(!flag)
	{		
		flag = NonLinear(x0,dx0,x,fx,a0,epsilon,k,n,Steps,M);
	}	
	for(int i=1; i<=n; i++)
	{
		cout<<""x""<<i<<""=""<<x[i]<<"" "";
	}
	cout<<endl;
 
	return 0;
}
 
//解非线性方程组的随机化算法
bool NonLinear(double *x0,double *dx0,double *x,double *fx,double a0,
					double epsilon,double k,int n,int Steps,int M)
{
	static RandomNumber rnd(1);
	bool success;			//搜索成功标志
	double *dx,*r;
 
	dx = new double[n+1];	//步进增量向量
	r = new double[n+1];	//搜索方向向量
	int mm = 0;				//当前搜索失败次数
	int j = 0;				//迭代次数
	double a = a0;			//步长因子
 
	for(int i=1; i<=n; i++)
	{
		x[i] = x0[i];
		dx[i] = dx0[i];
	}
 
	double fy = f(x,fx);		//计算目标函数值
	double min = fy;		//当前最优值
 
	while(j<Steps)
	{
		//(1)计算随机搜索步长
		if(fy<min)//搜索成功
		{
			min = fy;
			a *= k;
			success = true;
		}
		else//搜索失败
		{
			mm++;
			if(mm>M)
			{
				a /= k;
			}
			success = false;
		}
 
		if(min<epsilon)
		{
			break;
		}
 
		//(2)计算随机搜索方向和增量
		for(int i=1; i<=n; i++)
		{
			r[i] = 2.0 * rnd.fRandom()-1;
		}
 
		if(success)
		{
			for(int i=1; i<=n; i++)
			{
				dx[i] = a * r[i];
			}
		}
		else
		{
			for(int i=1; i<=n; i++)
			{
				dx[i] = a * r[i] - dx[i];
			}
		}
 
		//(3)计算随机搜索点
		for(int i=1; i<=n; i++)
		{
			x[i] += dx[i];
		}
 
		//(4)计算目标函数值
		fy = f(x,fx);
		j++;
	}	
 
	if(fy<=epsilon)
	{
		return true;
	}
	else
	{
		return false;
	}
}
 
double f(double *x, double* fx)
{
	return (x[1]-x[2]-fx[1])*(x[1]-x[2]-fx[1])
			+(x[1]+x[2]-fx[2])*(x[1]+x[2]-fx[2]);
}

```"
9,5978,课堂实践作业,4uq3p97az65y,资源调度——课堂作业1,,
